benchmark,operating_point,target_fpr,baseline,metric,ours,baseline_value,advantage,ci_lower,ci_upper,p_bootstrap,p_holm,significant_holm_0.05
msts_mmstar,fpr_01,0.01,LlavaGuard,fpr,0.007272727272727273,0.007272727272727273,0.0,-0.007272727272727273,0.007272727272727273,1.0,1.0,False
msts_mmstar,fpr_01,0.01,LlavaGuard,f1,0.9615384615384615,0.6329113924050632,0.32862706913339823,0.24268277945640798,0.42420814402277934,9.999000099990002e-05,0.00029997000299970003,True
msts_mmstar,fpr_01,0.01,LlavaGuard,auc,1.0,0.900740909090909,0.09925909090909102,0.06235488636363633,0.14197306818181815,9.999000099990002e-05,0.00029997000299970003,True
msts_mmstar,fpr_01,0.01,ShieldVLM,recall,1.0,0.47,0.53,0.43000000000000005,0.63,9.999000099990002e-05,0.00029997000299970003,True
msts_mmstar,fpr_01,0.01,ShieldVLM,fpr,0.007272727272727273,0.015454545454545455,0.008181818181818182,-0.000909090909090908,0.017272727272727273,0.08969103089691031,0.26907309269073093,False
msts_mmstar,fpr_01,0.01,ShieldVLM,f1,0.9615384615384615,0.573170731707317,0.3883677298311444,0.2987476019915248,0.4838356598888027,9.999000099990002e-05,0.00029997000299970003,True
msts_mmstar,fpr_01,0.01,ShieldVLM,auc,1.0,0.9479136363636363,0.05208636363636365,0.03681784090909095,0.06878647727272723,9.999000099990002e-05,0.00029997000299970003,True
msts_mmstar,fpr_01,0.01,Granite-Guardian-style,recall,1.0,0.02,0.98,0.95,1.0,9.999000099990002e-05,0.00029997000299970003,True
msts_mmstar,fpr_01,0.01,Granite-Guardian-style,fpr,0.007272727272727273,0.004545454545454545,-0.0027272727272727275,-0.009090909090909092,0.0036363636363636364,0.45835416458354167,0.9167083291670833,False
msts_mmstar,fpr_01,0.01,Granite-Guardian-style,f1,0.9615384615384615,0.037383177570093455,0.924155283968368,0.8642007810100478,0.975609756097561,9.999000099990002e-05,0.00029997000299970003,True
msts_mmstar,fpr_01,0.01,Granite-Guardian-style,auc,1.0,0.44293636363636363,0.5570636363636363,0.4900624999999999,0.6242729545454545,9.999000099990002e-05,0.00029997000299970003,True
mmsafety_textvqa,fpr_05,0.05,LlavaGuard,recall,0.315,0.27,0.044999999999999984,-0.03999999999999998,0.13000000000000003,0.33386661333866613,0.33386661333866613,False
mmsafety_textvqa,fpr_05,0.05,LlavaGuard,fpr,0.034545454545454546,0.05818181818181818,0.023636363636363636,0.006363636363636363,0.04090909090909091,0.007699230076992301,0.030796920307969204,True
mmsafety_textvqa,fpr_05,0.05,LlavaGuard,f1,0.41860465116279066,0.339622641509434,0.07898200965335667,-0.015328133686880695,0.17021734423498408,0.097990200979902,0.097990200979902,False
mmsafety_textvqa,fpr_05,0.05,LlavaGuard,auc,0.8148454545454547,0.5246863636363637,0.290159090909091,0.22172687499999993,0.356905909090909,9.999000099990002e-05,0.00039996000399960006,True
mmsafety_textvqa,fpr_05,0.05,GuardReasoner-style,recall,0.315,0.185,0.13,0.03999999999999998,0.21500000000000002,0.0057994200579942,0.0115988401159884,True
mmsafety_textvqa,fpr_05,0.05,GuardReasoner-style,fpr,0.034545454545454546,0.053636363636363635,0.01909090909090909,0.002727272727272731,0.03545454545454545,0.025897410258974102,0.0776922307769223,False
mmsafety_textvqa,fpr_05,0.05,GuardReasoner-style,f1,0.41860465116279066,0.25,0.16860465116279066,0.06731882546922843,0.26894760085162556,0.0004999500049995,0.000999900009999,True
mmsafety_textvqa,fpr_05,0.05,GuardReasoner-style,auc,0.8148454545454547,0.8900931818181818,-0.0752477272727271,-0.1124228409090907,-0.038706761363636384,0.0006999300069993001,0.0020997900209979003,True
mmsafety_textvqa,fpr_05,0.05,ShieldVLM,recall,0.315,0.08,0.235,0.16000000000000003,0.31,9.999000099990002e-05,0.00039996000399960006,True
mmsafety_textvqa,fpr_05,0.05,ShieldVLM,fpr,0.034545454545454546,0.05090909090909091,0.016363636363636365,0.0,0.03363636363636363,0.059694030596940305,0.11938806119388061,False
mmsafety_textvqa,fpr_05,0.05,ShieldVLM,f1,0.41860465116279066,0.11764705882352941,0.3009575923392612,0.21221032912975585,0.38503758756436124,9.999000099990002e-05,0.00039996000399960006,True
mmsafety_textvqa,fpr_05,0.05,ShieldVLM,auc,0.8148454545454547,0.7671340909090909,0.047711363636363746,0.0012592613636363706,0.09187318181818176,0.0400959904009599,0.0801919808019198,False
mmsafety_textvqa,fpr_05,0.05,Granite-Guardian-style,recall,0.315,0.005,0.31,0.245,0.375,9.999000099990002e-05,0.00039996000399960006,True
mmsafety_textvqa,fpr_05,0.05,Granite-Guardian-style,fpr,0.034545454545454546,0.035454545454545454,0.000909090909090908,-0.014545454545454549,0.01636363636363636,0.9517048295170483,0.9517048295170483,False
mmsafety_textvqa,fpr_05,0.05,Granite-Guardian-style,f1,0.41860465116279066,0.008333333333333333,0.4102713178294573,0.3365221464005901,0.4802631578947369,9.999000099990002e-05,0.00039996000399960006,True
mmsafety_textvqa,fpr_05,0.05,Granite-Guardian-style,auc,0.8148454545454547,0.7941999999999999,0.020645454545454744,-0.023650340909090965,0.06270465909090925,0.35006499350064996,0.35006499350064996,False
